                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.43168,                0.36339,                0.88387,                 0.9674,                0.90619,                0.95963,                0.89668,                0.40933,                0.36207,                 0.7792,               0.003367,               0.003367,               0.003367
                     69,                0.44289,                0.35065,                0.88968,                0.95398,                0.93288,                 0.9616,                 0.8957,                0.38463,                0.33933,                0.77232,               0.003268,               0.003268,               0.003268
                     70,                0.41863,                0.33643,                0.87921,                0.96869,                0.93029,                0.96748,                0.90253,                0.39985,                0.33165,                0.77762,               0.003169,               0.003169,               0.003169
                     71,                 0.4136,                0.34586,                0.87055,                0.95712,                  0.937,                0.96887,                0.89659,                0.40429,                0.32896,                0.78927,                0.00307,                0.00307,                0.00307
                     72,                0.41281,                0.35049,                0.87171,                0.96695,                0.93064,                0.96287,                0.89618,                0.39951,                0.33757,                0.78386,               0.002971,               0.002971,               0.002971
                     73,                0.41777,                0.33926,                0.88487,                0.94859,                 0.9396,                0.96501,                0.89845,                0.39345,                0.33487,                0.78136,               0.002872,               0.002872,               0.002872
                     74,                0.40304,                0.32603,                0.87478,                0.96591,                0.93288,                0.96528,                0.89897,                0.37894,                0.31782,                 0.7785,               0.002773,               0.002773,               0.002773
                     75,                0.40749,                0.32778,                0.87695,                0.96688,                0.92769,                0.96283,                0.89493,                0.38896,                0.33327,                0.77562,               0.002674,               0.002674,               0.002674
                     76,                0.39943,                0.32965,                0.87216,                0.96393,                0.93311,                0.96308,                0.89819,                 0.3877,                0.33014,                0.77801,               0.002575,               0.002575,               0.002575
                     77,                0.39885,                0.32236,                0.86459,                0.96989,                0.93212,                 0.9667,                0.89619,                0.38545,                0.31532,                0.77838,               0.002476,               0.002476,               0.002476
                     78,                0.39419,                0.31922,                0.87456,                 0.9395,                0.93288,                0.96209,                 0.8979,                0.38733,                 0.3281,                0.78354,               0.002377,               0.002377,               0.002377
                     79,                0.38845,                0.32068,                0.86691,                0.97063,                0.92325,                0.96925,                0.90325,                0.39503,                0.32339,                0.78284,               0.002278,               0.002278,               0.002278
                     80,                0.39097,                 0.3174,                0.86745,                0.97236,                0.93133,                 0.9659,                0.89896,                0.39094,                0.31849,                 0.7865,               0.002179,               0.002179,               0.002179
                     81,                0.38257,                0.31639,                0.86355,                 0.9732,                0.92932,                 0.9682,                0.90697,                0.38301,                0.32166,                0.77555,                0.00208,                0.00208,                0.00208
                     82,                0.39177,                0.31772,                0.87513,                0.96912,                0.91992,                0.96503,                0.90122,                0.37603,                0.32629,                0.78007,               0.001981,               0.001981,               0.001981
                     83,                0.37903,                0.31041,                0.87112,                0.98013,                0.93029,                0.96652,                0.90424,                0.38891,                0.31699,                0.77962,               0.001882,               0.001882,               0.001882
                     84,                0.37581,                 0.3008,                0.86306,                0.97829,                0.92699,                0.96437,                0.89982,                0.39217,                0.32333,                 0.7814,               0.001783,               0.001783,               0.001783
                     85,                0.37525,                 0.2995,                0.86459,                0.97225,                0.93288,                0.96487,                0.90632,                 0.3738,                0.30349,                0.77693,               0.001684,               0.001684,               0.001684
                     86,                0.37644,                0.30659,                0.87018,                0.96657,                0.92697,                0.96448,                0.90667,                0.37079,                0.30785,                0.77369,               0.001585,               0.001585,               0.001585
                     87,                0.36103,                0.29455,                 0.8571,                0.96706,                0.92149,                0.96318,                0.90188,                0.37182,                 0.3154,                0.77846,               0.001486,               0.001486,               0.001486
                     88,                0.35942,                0.28953,                0.86197,                0.97174,                0.91833,                0.96507,                0.90333,                   0.38,                0.30597,                0.77725,               0.001387,               0.001387,               0.001387
                     89,                0.36284,                 0.2927,                0.86682,                0.97053,                0.91733,                0.96551,                0.90906,                0.36648,                0.30963,                0.76808,               0.001288,               0.001288,               0.001288
                     90,                0.36012,                0.28902,                0.85969,                0.95625,                0.93036,                 0.9674,                 0.9065,                0.37371,                0.31582,                0.77188,               0.001189,               0.001189,               0.001189
                     91,                0.36445,                0.28536,                0.87075,                0.96493,                0.92494,                0.96607,                0.90822,                0.36968,                0.31126,                0.77412,                0.00109,                0.00109,                0.00109
                     92,                0.36149,                 0.2933,                0.86076,                0.96589,                0.93029,                 0.9665,                0.91092,                0.36629,                  0.301,                0.76992,               0.000991,               0.000991,               0.000991
                     93,                0.35129,                0.27988,                0.85638,                0.97865,                0.92769,                0.96356,                0.90576,                0.36702,                0.30873,                0.76931,               0.000892,               0.000892,               0.000892
                     94,                0.34287,                0.28473,                0.85318,                0.96793,                0.92609,                0.96616,                0.90613,                0.36424,                0.31125,                0.76763,               0.000793,               0.000793,               0.000793
                     95,                0.34771,                0.28289,                0.85877,                0.97926,                0.92928,                0.96503,                0.90901,                0.35717,                0.30504,                0.76207,               0.000694,               0.000694,               0.000694
                     96,                0.34632,                 0.2862,                0.86436,                0.94139,                0.93559,                0.95556,                0.90129,                0.35644,                0.31951,                0.76017,               0.000595,               0.000595,               0.000595
                     97,                0.34265,                0.27252,                0.85772,                0.96742,                 0.9388,                0.96673,                0.90705,                0.36661,                0.31333,                 0.7634,               0.000496,               0.000496,               0.000496
                     98,                0.33132,                0.27126,                 0.8556,                0.96619,                 0.9334,                 0.9639,                0.90702,                0.35943,                0.31195,                0.76224,               0.000397,               0.000397,               0.000397
                     99,                0.34206,                0.27171,                0.85481,                0.95953,                0.93436,                0.96419,                0.90751,                  0.365,                0.31049,                0.76578,               0.000298,               0.000298,               0.000298
